Benchmark,Prompt Type,Subdirectory,Line Count
Invaders,No_tsl,2024-08-14T12:18:40.710524,37
Notes,Spec_template,2024-05-18T11:15:01.690427,11
Notes,Spec_template,2024-05-18T11:17:26.142290,13
Notes,Spec_template,2024-05-17T22:50:22.957954,13
Notes,Spec_template,2024-05-18T10:53:44.850085,13
Notes,Spec_template,2024-05-18T10:44:23.394763,12
Notes,Spec_template,2024-05-17T22:51:37.154522,12
Notes,Spec_template,2024-05-18T11:26:37.106112,10
Notes,Spec_template,2024-05-18T11:11:35.865425,11
Notes,Spec_template,2024-05-18T11:12:49.593527,11
Notes,Spec_template,2024-05-18T10:51:18.880883,14
Notes,Spec_template,2024-05-17T13:59:31.661048,11
Notes,Spec_template,2024-05-18T11:07:19.918260,11
Notes,Spec_template,2024-05-18T10:55:38.454670,14
Notes,Spec_template,2024-05-18T11:30:37.649724,10
Notes,Spec_template,2024-05-18T11:08:36.441676,11
Notes,Spec_template,2024-05-18T11:00:44.273709,14
Notes,Spec_template,2024-05-18T10:49:13.239498,13
Notes,Spec_template,2024-05-18T11:23:00.703214,13
Notes,Spec_template,2024-05-18T10:47:54.540529,10
Notes,Spec_template,2024-05-17T13:27:36.675447,12
Notes,Spec_template,2024-05-17T13:43:47.669263,10
Notes,Spec_template,2024-05-18T10:58:03.103881,13
Notes,Spec_template,2024-05-18T11:13:56.868714,13
Notes,Spec_template,2024-05-17T14:59:56.130714,11
Notes,Spec_template,2024-05-17T22:53:23.443997,13
Notes,Spec_template,2024-05-18T11:05:13.910232,13
Notes,Spec_template,2024-05-18T10:43:20.823918,11
Notes,Spec_template,2024-05-17T14:29:20.367003,14
Notes,Spec_template,2024-05-17T21:02:00.685795,11
Notes,Spec_template,2024-05-18T11:21:15.242704,13
Notes,Spec_template,2024-05-18T11:20:00.175558,14
Notes,Spec_template,2024-05-18T11:25:16.773754,11
Notes,Spec_template,2024-05-18T11:18:51.794320,13
Notes,Spec_template,2024-05-18T11:29:10.080544,14
Notes,Spec_template,2024-05-18T10:45:37.152712,11
Notes,Spec_template,2024-05-17T14:14:24.878283,15
Notes,Spec_template,2024-05-18T10:59:35.886942,12
Notes,Spec_template,2024-05-17T13:10:57.290219,10
Notes,Spec_template,2024-05-18T10:46:41.112520,11
Notes,Spec_template,2024-05-18T11:24:10.074444,11
Notes,Spec_template,2024-05-18T11:02:01.827629,13
Notes,Spec_template,2024-05-18T11:10:26.588012,10
Notes,Spec_template,2024-05-18T11:03:36.535330,11
Notes,Spec_template,2024-05-18T11:27:53.992351,10
Notes,Spec_template,2024-05-18T10:52:41.077829,11
Notes,Spec_template,2024-05-17T21:04:34.560962,12
Notes,Spec_template,2024-05-17T21:03:33.644203,14
Notes,Spec_template,2024-05-18T10:41:42.334495,11
Notes,Spec_template,2024-05-17T14:44:55.259641,11
Notes,Spec_template,2024-05-18T10:56:44.741717,11
Notes,Spec_template,2024-05-18T11:16:23.468747,11
Notes,Spec_template,2024-05-18T10:50:11.538967,11
Notes,No_tsl,2024-08-14T12:19:01.937437,21
Notes,No_tsl,2024-08-14T12:26:49.564818,27
Vending,No_tsl,2024-08-14T12:19:25.243666,24
Vending,No_tsl,2024-08-14T12:27:25.830600,21
